variable,data_type,source_dataset,grain,vintage_as_of,vintage_confidence,range,pct_non_null,description
has_nu_data,bool,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),0 - 1,100.0,True if row matched any NU org record (nu_guid present) -- broader than has_nu_analytics
crime_risk_need,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,1 - 100,32.3,"Raw NU crime risk percentile -- raw is need-coded (high = worse), verified against external Census data (r=-0.60 vs county median income); kept for reference"
crime_risk_adv,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,0 - 99,32.3,"Reverse-coded (100 - raw) NU crime risk percentile -- raw is need-coded (high = worse), verified against external Census data (r=-0.60 vs county median income); advantage-oriented, use this one for modeling"
educational_attainment_need,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,1 - 100,32.3,"Raw NU educational attainment percentile -- raw is need-coded (high = worse), verified against external Census data (r=-0.60 vs county median income); kept for reference"
educational_attainment_adv,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,0 - 99,32.3,"Reverse-coded (100 - raw) NU educational attainment percentile -- raw is need-coded (high = worse), verified against external Census data (r=-0.60 vs county median income); advantage-oriented, use this one for modeling"
family_stability_need,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,1 - 100,32.3,"Raw NU family stability percentile -- raw is need-coded (high = worse), verified against external Census data (r=-0.60 vs county median income); kept for reference"
family_stability_adv,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,0 - 99,32.3,"Reverse-coded (100 - raw) NU family stability percentile -- raw is need-coded (high = worse), verified against external Census data (r=-0.60 vs county median income); advantage-oriented, use this one for modeling"
housing_stability_need,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,1 - 100,32.3,"Raw NU housing stability percentile -- raw is need-coded (high = worse), verified against external Census data (r=-0.60 vs county median income); kept for reference"
housing_stability_adv,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,0 - 99,32.3,"Reverse-coded (100 - raw) NU housing stability percentile -- raw is need-coded (high = worse), verified against external Census data (r=-0.60 vs county median income); advantage-oriented, use this one for modeling"
median_family_income_need,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,1 - 100,32.3,"Raw NU median family income percentile -- raw is need-coded (high = worse), verified against external Census data (r=-0.60 vs county median income); kept for reference"
median_family_income_adv,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,0 - 99,32.3,"Reverse-coded (100 - raw) NU median family income percentile -- raw is need-coded (high = worse), verified against external Census data (r=-0.60 vs county median income); advantage-oriented, use this one for modeling"
socio_need_index,float64,"NU Admissions org export (College Board/Naviance-lineage) (Landscape-lineage, per EDA 3a)",school,File exported 2026-06; per-metric measurement year unstated (open question for the client),inferred,2.2 - 98.6,32.3,Mean of 5 NU socio need percentiles (higher = more disadvantage; reverse-coded)
ap_offered,int64,CRDC Advanced Placement indicator (SY 2021-22) + NU org export flag (undated),school,CRDC SY 2021-22; NU export 2026-06,confirmed,0 - 1,100.0,1 if any AP signal present (CRDC offered/enrollment or NU tests taken/offered)
ap_tests_taken,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),1 - 15.49,30.5,"NU avg AP tests taken per student (Goal 8, direct measure)"
ap_participation,float64,"U.S. Dept. of Education CRDC, Advanced Placement school file",school,SY 2021-22,confirmed,0.00496507 - 0.778641,35.6,"CRDC AP enrollment / enrollment_9_12, winsorized 1/99pct (Goal 8, fallback measure)"
ap_intensity_src,str,Derived in build_features.py,school,n/a (derived flag),derived,"crdc_participation, none, nu_tests_taken, offered_flag_only",100.0,Provenance of the best available AP intensity signal for this row
ap_score_nu,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),1 - 4.77,30.5,"NU avg AP EXAM score, 1-5 scale (~35% coverage) -- the performance signal the literature (Geiser & Santelices) says carries the outcome signal, vs availability. Recruiting-selection biased, skews affluent"
ap_pct_students_nu,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),0 - 100,30.3,NU pct of students taking any AP -- AP participation breadth (distinct from tests-per-student intensity)
ap_tests_offered,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),0 - 37,30.5,NU avg # distinct AP tests offered by the school (denominator of ap_take_rate)
ap_take_rate,float64,Derived in build_features.py (NU org export),school,File exported 2026-06-24 (from source filename timestamp) -- no per-variable vintage stated inside the file itself,derived,0.0870748 - 0.665,30.5,"AP tests taken / AP tests offered, winsorized 1/99pct -- the 'of 25 offered they took 5' challenge-seeking ratio (the client, Wk5 meeting); higher = students engage more of what's available"
dual_enrollment_offered,int64,"U.S. Dept. of Education CRDC, Dual Enrollment school file",school,SY 2021-22,confirmed,0 - 1,100.0,1 if CRDC reports the school offers dual enrollment
dual_enrollment_rate,float64,"U.S. Dept. of Education CRDC, Dual Enrollment school file",school,SY 2021-22,confirmed,0 - 0.901235,42.8,"CRDC dual enrollment / enrollment_9_12, winsorized 1/99pct -- distinct CRDC advanced-coursework indicator from AP, per report section 4.1"
testtaker_rate,float64,"U.S. Dept. of Education CRDC, SAT and ACT school file",school,SY 2021-22,confirmed,0 - 0.709165,54.7,"CRDC SAT/ACT takers / enrollment_9_12, winsorized 1/99pct (Goal 6)"
sat_participation_nu,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),0 - 100,29.5,NU pct of seniors taking SAT (Goal 6)
sat_score_nu,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),910 - 1440,32.3,"NU avg freshman SAT score -- NOTE recruiting-selection biased, not a random sample"
act_composite_il,float64,"ISBE Illinois Report Card, ACT grade-11 school averages",school,SY 2024-25 report card (2025 release),confirmed,11.7 - 29.5667,1.9,"Mean of ISBE grade-11 ACT ELA/Math/Science average scores -- IL only, thin (~660 schools); standardized-test performance signal for cross-school comparison"
grad_rate_2021,float64,"EDFacts ACGR school file (FS150/FS151, DG695/696), interval midpoints for blurred values",school,SY 2020-21 (COVID cohort),confirmed,0.5 - 99.5,50.7,Four-year adjusted cohort graduation rate
frl_rate,float64,"NCES CCD ELSI, free/reduced-lunch eligible counts / enrollment",school,SY 2024-25,confirmed,0.119332 - 173.77,50.1,"Free/reduced lunch students / total_enrollment, percent"
enrollment_9_12,float64,"NCES CCD ELSI (public) / NCES PSS (private), grade 9-12 counts",school,CCD SY 2024-25; PSS SY 2023-24,confirmed,30 - 14517,62.9,Grades 9-12 headcount (denominator for AP/SAT rates and the min-size freeze)
grade_9,float64,NCES CCD ELSI (public) / NCES PSS (private),school,CCD SY 2024-25; PSS SY 2023-24,confirmed,0 - 3865,61.6,Grade 9 headcount (Goal 5 pipeline)
grade_10,float64,NCES CCD ELSI (public) / NCES PSS (private),school,CCD SY 2024-25; PSS SY 2023-24,confirmed,0 - 3731,62.1,Grade 10 headcount (Goal 5 pipeline)
grade_11,float64,NCES CCD ELSI (public) / NCES PSS (private),school,CCD SY 2024-25; PSS SY 2023-24,confirmed,0 - 3788,62.4,Grade 11 headcount (Goal 5 pipeline)
grade_12,float64,NCES CCD ELSI (public) / NCES PSS (private),school,CCD SY 2024-25; PSS SY 2023-24,confirmed,0 - 3231,62.4,Grade 12 headcount (Goal 5 pipeline)
child_poverty_saipe,float64,"U.S. Census SAIPE county estimates (est24all.xls), joined by county FIPS",county,2024 estimates (released Dec 2025),confirmed,2.6 - 60.7,60.8,"County-level SAIPE child poverty percent (r=0.89 with ACS, kept as the single poverty proxy)"
per_pupil_state_local,float64,"ISBE Illinois Report Card, school-level per-pupil expenditures",district (IL only),SY 2024-25 report card,confirmed,9240.47 - 72653.8,1.9,"IL ISBE true per-pupil state+local expenditure (IL only, ~2.8% coverage)"
leaid,float64,Derived in build_features.py from nces_id_12[:7],district,n/a (derived key),derived,1e+06 - 9.05374e+06,58.0,"District ID -- NOT the leaid column shipped in schools_org_all, which is 5 chars and 0% match rate against Census finance data; fixed 2026-07-17, see build_funding()"
district_total_revenue,float64,U.S. Census F-33 Annual Survey of School System Finances,district,FY 2024,confirmed,14000 - 9.28171e+09,42.5,"District total revenue, dollars (raw units, from $1,000s source)"
per_resident_child_funding_total,float64,"Derived: Census F-33 district revenue (FY2024) / SAIPE school-age resident children (2024) -- population proxy, not true per-pupil",district,FY 2024 / 2024,confirmed,9579.53 - 45669.8,41.7,"F-33 total revenue / SAIPE school-age (5-17) population, winsorized -- a per-resident-child PROXY, not true per-pupil expenditure (Goal 4, national)"
per_resident_child_funding_state_local,float64,Derived: Census F-33 state+local revenue (FY2024) / SAIPE school-age resident children (2024) -- population proxy,district,FY 2024 / 2024,confirmed,7842.1 - 41847.7,41.7,"Same as per_resident_child_funding_total, state+local revenue only (excludes federal)"
funding_source,str,Derived in build_features.py,school,n/a (derived flag),derived,"census_f33_per_resident_child_proxy, isbe_il_true_per_pupil, none",100.0,Which funding figure is populated for this row: isbe_il_true_per_pupil / census_f33_per_resident_child_proxy / none
percent_going_to_college_mid,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),12.5 - 95,47.1,"NU bucketed percent going to any college, parsed to bucket midpoint"
percent_going_to_4yr_college_mid,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),5 - 95,14.0,"NU bucketed percent going to 4-year college, parsed to bucket midpoint"
percent_federal_lunch_aid_mid,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),5 - 95,8.6,"NU bucketed percent on federal lunch aid, parsed to bucket midpoint"
percent_first_gen_college_mid,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),5 - 95,4.2,"NU bucketed percent first-gen college, parsed to bucket midpoint"
number_of_ap_classes_offered_mid,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),0 - 25,14.7,"NU bucketed count of AP classes offered, parsed to bucket midpoint"
size_of_senior_class_mid,float64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),50 - 1200,63.9,"NU bucketed senior class size, parsed to bucket midpoint"
ap_capstone,int64,NU Admissions org export (College Board/Naviance-lineage),school,File exported 2026-06; per-metric measurement year unstated (open question for the client),confirmed (export date only),0 - 1,100.0,1 if NU flags this as an AP Capstone school
setting,str,"NU org export setting, falling back to NCES CCD locale code",school,NU export 2026-06; CCD SY 2024-25,confirmed,29 distinct values,84.8,Urban/suburban/rural setting
ib_flag_candidate,int64,"IBO website scrape (ib_us.csv), name-only fuzzy match -- superseded by ib_flag_v2",school,IBO site 2025-26; match quality unverified,confirmed (known-unreliable),0 - 1,100.0,"1 if IB fuzzy-matched AND match tier is 'review' (never auto_accept nationwide -- still needs human confirmation; gating added 2026-07-17, see build_features.py)"
ib_programme_count,float64,IBO website scrape (ib_us.csv),school,IBO site 2025-26,confirmed,1 - 3,1.6,"Count of distinct IB programmes offered (PYP/MYP/DP/CP), gated the same way as ib_flag_candidate (review-tier match only) -- null for non-candidate rows, not 0"
meets_min_size,bool,Derived in build_modeling_dataset.py,school,n/a (derived flag),derived,1 - 1,100.0,True if enrollment_9_12 >= 30 or enrollment_9_12 is unknown (freeze gate)
crdc_ib_enrollment,float,CRDC 2021-22 SCH International Baccalaureate file,school,"SY 2021-22 (confirmed, federal release)",confirmed,0 to 1.44e+03,2.4,Total IB enrollment (male+female) where the school answered CRDC IB=Yes; negative reserve codes cleaned to null. Public schools only.
ib_flag_v2,float (0/1),"CRDC 2021-22 (public, exact NCESSCH join) + hand-adjudicated IBO scrape matches (private)",school,CRDC SY 2021-22; IBO scrape 2025-26,confirmed,0 to 1,46.3,"Verified IB indicator replacing ib_flag_candidate: 1 = offers IB, 0 = confirmed no, null = unanswered. Provenance in ib_flag_v2_source; method in docs/IB_RESCUE.md."
ib_flag_v2_source,str,derived (IB rescue pipeline),school,2026-07 (derivation date),confirmed,2 distinct values,46.3,Provenance of ib_flag_v2: 'crdc_2122' (federal field) or 'ibo_name_match_adjudicated' (private-school manual adjudication).
ap_qualifying_density,float,derived from NU org export (ap_tests_taken x P(score>=3)),school,NU export 2026-06; per-metric measurement year unconfirmed (open question for the client),inferred,0.106 to 5.38,30.5,"Expected qualifying AP exams (score>=3) per student: ap_tests_taken x P(score>=3), with P from a normal approximation of the school mean AP score (SD~1.2, documented). v4 AP-performance component; winsorized at p99."
ib_intensity_v2,float,"derived (crdc_ib_enrollment / enrollment_9_12, fallback ib_flag_v2)",school,CRDC SY 2021-22 / IBO 2025-26,confirmed,0 to 1,46.3,"IB intensity sub-feature inside the v4 CRDC-coursework component: IB enrollment share of grades 9-12 where available, else the verified binary flag; winsorized at p99."
