leaid,district_name,fips_state,state_code,fiscal_year,total_revenue_000s,federal_revenue_000s,state_revenue_000s,local_revenue_000s,total_expenditure_000s,current_exp_elem_secondary_000s,instruction_expenditure_000s,support_services_expenditure_000s,capital_outlay_000s,total_salaries_000s,instruction_salaries_000s,total_benefits_000s
0626280,MOUNTAIN VIEW WHISMAN SCHOOL DISTRICT,6,5,24,152316,5262,20779,126275,179496,116942,72558,40119,44889,4591,69864,0
0634590,SAN JOSE UNIFIED SCH DIST,6,5,24,610686,27691,152927,430068,520655,494343,294026,184516,10114,25059,282176,0
0635910,SARATOGA UNION ELEM SCH DIST,6,5,24,55941,721,4334,50886,55307,40289,24503,14547,4263,1605,23370,0
0605640,BONNY DOON UNION ELEMENTARY,6,5,24,2787,121,376,2290,2759,2757,1602,1124,0,97,1530,0
0612810,ENTERPRISE ELEM SCH DIST,6,5,24,75933,7898,48901,19134,71942,62362,36625,22429,7505,3538,35026,0
0615690,GRANT ELEM SCH DIST,6,5,24,9840,419,7330,2091,9242,8591,5464,2793,507,621,5215,0
0619200,JUNCTION ELEM SCH DIST,6,5,24,7021,476,3636,2909,7224,6662,4092,1920,166,372,3942,0
0616570,HAPPY VALLEY UNION SCH DIST,6,5,24,10807,1179,7438,2190,10269,8570,5000,3123,1294,496,4853,0
0632040,REDDING ELEM SCH DIST,6,5,24,67355,5459,43334,18562,67228,57532,35470,19380,8177,3149,34221,0
0614950,GATEWAY UNIFIED SCHOOL DISTRICT,6,5,24,54702,7962,22779,23961,52454,47550,28330,16880,3609,2119,27372,0
0627040,MOUNTAIN UNION ELEM SCH DIST,6,5,24,2915,524,922,1469,2733,2139,1130,858,575,86,1106,0
0605490,BOGUS ELEM SCH DIST,6,5,24,641,109,307,225,607,451,224,205,144,15,221,0
0616110,GRENADA ELEM SCH DIST,6,5,24,3219,259,2408,552,3381,3250,1869,1171,94,207,1811,0
0626040,MT SHASTA UNION SCH DIST,6,5,24,8782,1333,4590,2859,8681,8428,4681,3433,126,506,4481,0
0636240,SEIAD ELEM SCH DIST,6,5,24,556,38,319,199,760,731,426,267,22,14,421,0
0643380,YREKA UN ELEM SCH DIST,6,5,24,18258,3321,11101,3836,21304,18434,11075,6346,2470,869,10644,0
0604620,BENICIA UNIFIED SCH DIST,6,5,24,83103,2932,44461,35710,87684,68992,41084,24798,11153,4372,39003,0
0640590,VACAVILLE UNIFIED SCHOOL DISTRICT,6,5,24,235636,14125,146540,74971,220851,200839,109672,81033,8765,12708,104821,0
0601890,ALEXANDER VAL UNION ELEM SCH DIST,6,5,24,3462,25,882,2555,3155,2782,1607,1145,71,115,1529,0
0608970,CLOVERDALE UN SCH DIST,6,5,24,30838,2519,11078,17241,29921,25849,15994,8726,1498,1303,15431,0
0615150,GEYSERVILLE UNIF SCH DIST,6,5,24,6830,308,1406,5116,6576,5774,3626,1887,189,203,3482,0
0625410,MONTE RIO UNION ELEM SCH DIST,6,5,24,2609,202,303,2104,2486,2251,1101,1003,80,67,1058,0
0628320,OLD ADOBE UNION SCHOOL DISTRICT,6,5,24,38478,1922,17093,19463,39408,35908,24363,10401,1130,1830,23479,0
0636180,SEBASTOPOL UNION ELEM SCH DIST,6,5,24,14522,683,3177,10662,12786,10274,5810,4140,533,447,5586,0
0640230,TWIN HILLS UNION ELEM SCH DIST,6,5,24,17665,440,9586,7639,17647,16776,10519,5624,215,957,10075,0
0642270,WEST SIDE UNION ELEM SCH DIST,6,5,24,2639,44,283,2312,2536,2200,1411,770,86,137,1349,0
0600034,WINDSOR UNIFIED SCHOOL DISTRICT,6,5,24,92215,5409,39964,46842,97018,80687,48483,29650,9986,4565,46637,0
0643200,WRIGHT ELEM SCH DIST,6,5,24,29859,2128,16810,10921,33152,26395,15099,10359,5717,1263,14546,0
0611040,DENAIR UNIFIED SCH DIST,6,5,24,27371,2831,12520,12020,25563,22799,13544,7993,1345,1273,12913,0
0612690,EMPIRE UNION ELEM SCH DIST,6,5,24,70838,10651,40304,19883,63246,58101,38301,17187,3046,2825,37027,0
0629790,PARADISE ELEMENTARY SCHOOL DISTRICT,6,5,24,3290,125,2169,996,3461,3274,2051,1221,149,182,1994,0
0633210,ROBERTS FERRY UNION ELEM SCHOOL DIST,6,5,24,3890,258,2581,1051,3742,2944,1923,801,783,192,1836,0
0637950,STANISLAUS UNION ELEMENTARY SCHOOL DISTRICT,6,5,24,78385,8677,46805,22903,73084,65461,43096,19716,5817,3297,41403,0
0600158,TURLOCK UNIFIED SCHOOL DISTRICT,6,5,24,286077,27566,181404,77107,273548,245337,163729,71850,17899,13523,156036,0
0600063,WATERFORD UNIFIED SCHOOL DISTRICT,6,5,24,48288,6523,30657,11108,48179,37758,23729,12491,7342,1737,23090,0
0606090,BRITTAN ELEMENTARY SCHOOL DISTRICT,6,5,24,7490,594,4926,1970,6767,6032,3648,1979,67,495,3491,0
0638610,SUTTER UNION H SCH DIST,6,5,24,14103,459,8771,4873,14300,12752,6326,5946,1211,795,6059,0
0643470,YUBA CITY UNIFIED SCHOOL DISTRICT,6,5,24,263493,31696,178352,53445,242342,220321,133659,76768,11528,11461,128687,0
0609810,CORNING UNION H SCH DIST,6,5,24,24317,1663,16391,6263,22520,20658,11651,8125,985,1057,11223,0
0621090,LASSEN VIEW ELEM SCH DIST,6,5,24,8035,433,6235,1367,7415,5521,3573,1546,1668,367,3425,0
0631980,RED BLUFF UNION ELEM SCH DIST,6,5,24,43542,4936,30675,7931,46734,37328,23542,11877,8216,1893,22672,0
0609240,COFFEE CREEK ELEM SCH DIST,6,5,24,249,35,135,79,291,286,210,71,0,8,203,0
0639750,TRINITY CENTER ELEM SCH DIST,6,5,24,1165,46,964,155,449,437,260,135,0,14,254,0
0601980,ALLENSWORTH ELEM SCH DIST,6,5,24,4570,456,3847,267,3698,1945,1033,724,1745,101,1006,0
0609510,COLUMBINE ELEM SCH DIST,6,5,24,2886,287,2165,434,2604,2489,1569,745,94,175,1492,0
0611550,DUCOR UNION ELEM SCH DIST,6,5,24,3344,513,2277,554,3524,3306,1699,1328,203,160,1636,0
0636360,SEQUOIA UNION ELEM SCH DIST,6,5,24,9374,523,7951,900,9135,6059,3741,2055,3020,384,3594,0
0638130,STRATHMORE UNION ELEM SCH DIST,6,5,24,19659,3823,14126,1710,19187,15901,9328,5708,3142,697,8980,0
0638340,SUNDALE UN ELEM SCH DIST,6,5,24,14603,617,12261,1725,14681,12178,8142,3523,2427,844,7809,0
0639060,TERRA BELLA UNION ELEM SCH DIST,6,5,24,22483,5038,13413,4032,18267,15655,8999,5417,2208,754,8704,0
0641160,VISALIA UNIFIED SCHOOL DIST,6,5,24,640472,80469,441799,118204,629020,546949,325955,203721,63502,28893,313334,0
0601418,WOODLAKE UNIFIED SCHOOL DISTRICT,6,5,24,54584,6138,40384,8062,50385,41439,22183,16383,7001,2085,21244,0
0691137,BIG OAK FLAT-GROVELAND UNIFIED SCHOOL DIST,6,5,24,10165,721,1949,7495,9261,8492,4948,3140,320,248,4592,0
0610320,CURTIS CREEK EL SCH DIST,6,5,24,8032,955,2361,4716,7737,6561,3355,2873,939,422,3212,0
0637260,SONORA UNION HIGH SCHOOL DIST,6,5,24,22700,1343,5325,16032,22228,20562,10600,9472,365,1092,10261,0
0638280,SUMMERVILLE UNION HIGH SCHOOL DIST,6,5,24,16339,624,8858,6857,12472,11965,6626,4688,94,640,6314,0
0613800,FILLMORE UNIFIED SCH DIST,6,5,24,87917,6208,61665,20044,85191,77889,43201,30646,4951,3694,41472,0
0626460,MUPU SCHOOL DISTRICT,6,5,24,3071,60,2380,631,3860,2798,1761,1011,991,185,1705,0
0632760,RIO ELEM SCH DIST,6,5,24,115606,9663,64542,41401,116178,96136,58790,32075,10980,5217,56303,0
0610620,DAVIS JT UNIF SCH DIST,6,5,24,172168,5099,70895,96174,185883,145612,81402,59577,30380,8361,77939,0
0612930,ESPARTO UNIFIED SCH DIST,6,5,24,23481,1596,14274,7611,21430,19695,10509,7931,1276,997,10130,0
0691014,LAKE COUNTY OFFICE OF EDUCATION,6,5,24,36019,4525,18962,12532,28897,14419,1191,13195,750,31,1170,0
0600117,MARIN COUNTY ROP,6,5,24,4415,0,0,4415,4372,4372,0,4372,0,0,0,0
0691029,SAN BERNARDINO COUNTY OFFICE OF EDUCATION,6,5,24,672814,89199,338558,245057,626678,392019,148725,242957,11137,2259,145733,0
0600140,SAN JOAQUIN COUNTY ROC/P,6,5,24,4703,0,0,4703,4715,4492,0,0,223,0,0,0
0691032,SAN LUIS OBISPO CO SPL SCHS OPER BY CO SUPT,6,5,24,91780,17107,28782,45891,68220,36059,10403,25480,3800,334,10079,0
0691120,SIERRA CO SPL SCHS OPER BY CO SUPT,6,5,24,4192,782,2788,622,3896,2594,1047,1547,383,0,1016,0
0691038,SISKIYOU COUNTY OFFICE OF EDUCATION,6,5,24,40864,6154,21284,13426,33040,24194,5240,18819,696,70,5115,0
0691041,STANISLAUS CO SPL SCHS OPER BY CO SUPT,6,5,24,363405,72105,138344,152956,274233,143853,50241,92549,4671,740,48906,0
0600148,VENTURA COUNTY ROP,6,5,24,2845,0,0,2845,2413,2393,0,2393,20,0,0,0
0635090,SAN RAFAEL ELEMENTARY DISTRICT,6,5,24,115338,7112,43628,64598,114535,93152,51683,37940,9947,4356,49175,0
0635110,SAN RAFAEL HIGH SCHOOL DISTRICT,6,5,24,84319,3368,15113,65838,81979,54261,32921,20082,14230,2653,31456,0
0601860,ALBANY CITY UNIFIED SCH DIST,6,5,24,110310,7139,67535,35636,101405,65220,39476,23377,6294,3574,37713,0
0609570,COLUSA UNIFIED SCH DIST,6,5,24,33166,2195,23886,7085,29027,24741,15344,8160,1920,1464,14535,0
0639720,TRINIDAD UNION ELEM SCH DIST,6,5,24,3688,330,1852,1506,3503,3240,1996,1083,178,168,1923,0
0618510,ISLAND UNION ELEM SCH,6,5,24,6738,502,5300,936,9008,5634,3478,1786,3215,367,3316,0
0626190,MOUNTAIN VIEW ELEM SCHOOL DIST,6,5,24,158793,29373,93474,35946,154258,128582,76630,46679,19313,4642,73644,0
0632160,REED UNION ELEM SCHOOL DIST,6,5,24,34684,945,3096,30643,30935,28409,17194,10520,1429,1048,16428,0
0622170,LIVINGSTON UNION SCHOOL DISTRICT,6,5,24,59770,7033,44806,7931,51333,47187,26977,16980,3147,2545,25794,0
0633840,SACRAMENTO CITY UNIF SCH DIST,6,5,24,1052606,171076,605423,276107,1033316,871418,526908,303853,116836,38268,509925,0
0632610,RIM WORLD UNIFIED SCH DIST,6,5,24,59766,8100,26580,25086,54478,51955,29929,20262,1387,2853,28531,0
0609990,COTTONWOOD UNION ELEM SCH DIST,6,5,24,15841,1433,10640,3768,15550,14700,8822,5244,686,910,8491,0
0606570,BURTON ELEM SCH DIST,6,5,24,113028,8948,94746,9334,108961,94430,53688,34840,12859,4844,51737,0
0617640,HOT SPRINGS ELEM SCH DIST,6,5,24,553,37,299,217,437,430,232,191,6,13,225,0
0643170,WOODVILLE ELEM SCH DIST,6,5,24,14675,1748,12184,743,14048,8988,5120,3095,4994,390,4941,0
0601378,CENTRAL VALLEY PRE-SCHOOL JPA,6,5,24,804,32,760,12,31,31,0,31,0,0,0,0
0600037,FERNDALE UNIFIED SCHOOL DISTRICT,6,5,24,9615,607,5642,3366,11328,10484,6446,3652,732,482,6227,0
0620760,LAKESIDE UNION ELEMENTARY SCHOOL DISTRICT,6,5,24,7385,1288,4923,1174,6046,5448,2678,2396,409,248,2557,0
0600046,GONZALES UNIFIED SCHOOL DISTRICT,6,5,24,49209,4259,26091,18859,51951,45034,24667,18449,3149,2017,23700,0
0601401,MID-PLACER TRANSPORTATION JPA,6,5,24,3331,0,0,3331,3285,3223,56,3167,39,0,56,0
0600049,COAST UNIFIED SCHOOL DISTRICT,6,5,24,19812,989,2737,16086,17974,16312,8935,6817,344,489,8555,0
0601414,SANTA BARBARA UNIFIED SCHOOL DISTRICT,6,5,24,283206,22450,49060,211696,282293,232816,129226,95945,28934,12491,120871,0
0601327,SANTA CRUZ CITY SCHOOL DISTRICT,6,5,24,162737,11205,39804,111728,144613,115604,63418,48221,21127,6272,60468,0
0601358,NORTH SANTA CRUZ COUNTY SELPA,6,5,24,543,38,0,505,501,485,75,410,16,0,75,0
0601328,PETALUMA CITY SCHOOLS,6,5,24,138243,8017,57137,73089,147508,128900,74004,50314,11053,7138,70616,0
0601329,SANTA ROSA CITY SCHOOLS,6,5,24,316338,25138,103689,187511,366034,283284,166138,108945,60497,14682,159020,0
0601330,MODESTO CITY SCHOOL DISTRICT,6,5,24,697594,86319,454207,157068,719319,577222,316431,238120,106492,29677,302340,0
0600060,HUGHSON UNIFIED SCHOOL DISTRICT,6,5,24,43849,3363,26615,13871,41600,38865,23947,13016,1779,2190,23023,0
0600061,RIVERBANK UNIFIED SCHOOL DISTRICT,6,5,24,66331,6086,48310,11935,66738,56475,35866,18458,8032,2983,34549,0
0600065,DINUBA UNIFIED SCHOOL DISTRICT,6,5,24,158190,23699,114828,19663,192752,117410,65784,47284,69994,6313,62799,0
0691058,ALPINE COUNTY SPECIAL SCHOOLS,6,5,24,3637,327,2239,1071,2349,2025,458,1567,150,0,458,0
0691004,COLUSA COUNTY OFFICE OF EDUCATION,6,5,24,24575,3621,11605,9349,25148,19359,8582,10274,1168,42,8359,0
0691005,CONTRA COSTA CO SPL SCHS OPER BY CO SUPT,6,5,24,137690,10124,42134,85432,101627,94128,34921,58392,1638,309,34155,0
0691063,DEL NORTE CO SPL SCHS OPER BY CO SUPT,6,5,24,15249,3042,10249,1958,13930,13127,6217,6865,87,368,6088,0
0691009,HUMBOLDT CO SPL SCH OPER BY CO SUPT,6,5,24,84160,11485,46130,26545,72387,49175,15571,32957,564,297,15199,0
0691013,KINGS CO SPL SCHS OPER BY CO SUPT,6,5,24,93531,13420,39953,40158,85334,50192,12463,37692,2812,363,12118,0
0691015,LASSEN CO SPL SCHS OPER BY CO SUPT,6,5,24,20449,3196,11218,6035,16806,10253,2470,7752,438,7,2429,0
0691018,MARIN CO SPECIAL SCHOOLS,6,5,24,86108,9702,12824,63582,80004,52347,19407,30041,1735,309,18851,0
0691022,NAPA CO SPL SCHS OPER BY CO SUPT,6,5,24,71445,16829,16483,38133,52962,43260,13498,28538,667,74,13251,0
0691025,PLACER CO SPL SCHS OPER BY CO SUPT,6,5,24,190628,25610,72728,92290,161134,64578,14920,49644,8952,410,14404,0
0691033,SAN MATEO CO SPL SCHS OPER BY CO SUPT,6,5,24,247265,25911,44535,176819,203829,73710,11778,61866,1602,77,11571,0
0691035,SANTA CLARA COUNTY OFFICE OF EDUCATION,6,5,24,427527,58885,60818,307824,381274,277793,110691,166670,9032,1408,108509,0
0691037,SHASTA CO SPL SCHS OPER BY CO SUPT,6,5,24,112883,19857,68035,24991,102246,41986,9672,31691,8554,173,9501,0
0691040,SONOMA CO SPL SCHS,6,5,24,183524,24683,85475,73366,174631,74155,18569,52605,1224,327,18062,0
0691044,TRINITY COUNTY OFFICE OF EDUCATION,6,5,24,15352,2075,9702,3575,12599,7755,579,7176,222,0,560,0
0601770,ALAMEDA UNIFIED SCH DIST,6,5,24,204798,10201,83057,111540,207589,164365,99255,59701,23560,9061,95200,0
0604740,BERKELEY UNIFIED SCH DIST,6,5,24,260782,9923,83244,167615,286315,226458,133180,87727,38134,9077,127793,0
0612630,EMERY UNI SCH DIST,6,5,24,29396,1373,4658,23365,21303,16555,9327,6660,2471,600,8999,0
0627060,NEWARK UNIF SCH DIST,6,5,24,97880,4704,33331,59845,93057,83014,45987,33551,4261,4828,43669,0
0630330,PIEDMONT CITY UNIF SCH DIST,6,5,24,73968,1271,24880,47817,64483,53514,32072,19839,6071,2308,30414,0
0634680,SAN LEANDRO UNI SCH DIST,6,5,24,218240,15952,113375,88913,260344,171472,110502,55031,69004,8741,105518,0
0600019,DUBLIN UNIF SCH DISTRICT,6,5,24,257451,5702,101827,149922,346942,201906,125961,70304,118551,12827,119667,0
0614400,FREMONT UNIF SCHOOL DIST,6,5,24,615039,24075,324289,266675,643563,538132,346191,179193,57168,33063,327721,0
0626910,NEW HAVEN UNIFIED SCHOOL DIST,6,5,24,213123,11093,112500,89530,214979,167473,102001,60226,26427,10052,96600,0
0602070,ALPINE CO UNIF SCH DIST,6,5,24,4473,1077,1026,2370,4314,3647,1695,1800,593,66,1643,0
0602450,AMADOR CO UNIF SCH DIST,6,5,24,67916,3090,28022,36804,68933,62625,32263,26802,2561,4075,30183,0
0605040,BIGGS UNIFIED SCH DIST,6,5,24,13001,3047,5443,4511,11566,9950,5888,3631,880,548,5648,0
0623700,MANZANITA ELEM SCH DIST,6,5,24,5705,460,4205,1040,5517,5068,3281,1485,124,327,3146,0
0629130,OROVILLE UNION HIGH SCHOOL DIST,6,5,24,57285,5660,31685,19940,53936,45292,24111,19688,5563,2264,23147,0
0639180,THERMALITO UNION ELEM SCH DIST,6,5,24,45511,7497,32785,5229,38114,33086,17287,12576,2858,1520,16527,0
0605940,BRET HARTE UNION HIGH SCH DIST,6,5,24,18648,800,1497,16351,17732,16313,7840,8002,131,627,7840,0
0624150,MAXWELL UNIF SCH DIST,6,5,24,7921,657,4983,2281,7481,6615,3739,2560,399,350,3578,0
0605910,BRENTWOOD SCHOOL DISTRICT,6,5,24,160300,6239,100462,53599,205888,143601,99960,36967,55793,9751,94858,0
0618990,JOHN SWETT UNIFIED SCH DIST,6,5,24,35873,3059,13848,18966,30084,26396,15899,9412,1061,1220,15364,0
