ceeb,school_name,state,sector,score_default,tier_default,score_B_qualdensity,tier_B_qualdensity,score_v4_candidate,tier_v4_candidate,ap_qualifying_density
002618,Puerto Rico Baptist College,,private,,,,,,,
002622,Baptist Bible College West,,private,,,,,,,
002624,Ohio Valley General Hospital,,private,,,,,,,
002632,Christian Life College,,private,,,,,,,
002639,Penn View Bible Institute,,private,,,,,,,
002671,New School/Joffrey Program,,private,,,,,,,
002673,Talented Youth Search,,private,,,,,,,
002693,Pottsville Hospital,,private,,,,,,,
002746,Queens Coll Early Admissions,,private,,,,,,,
002772,Reading Hospital,,private,,,,,,,
002789,Rutgers U Coll Nursing,,private,,,,,,,
002839,Rutgers U Coll Pharmacy,,private,,,,,,,
002846,Suffolk Co Cc Riverhead,,private,,,,,,,
002862,Somerset Co Tech Institute,,private,,,,,,,
002864,St Georges Univ Sch Arts Sci,,private,,,,,,,
002880,Weiner Anthony,,private,,,,,,,
002885,Sweeney John,,private,,,,,,,
002913,Wood Tobe-Coburn School,,private,,,,,,,
002940,Univ Pittsburgh Genl Studies,,private,,,,,,,
002983,Westrn Pennsylvania Hospital,,private,,,,,,,
003017,American Motorcycle Institute,,private,,,,,,,
003018,American Marine Institute,,private,,,,,,,
003019,American Computer Institute,,private,,,,,,,
003055,Lincoln Tech Inst Norridge Il,,private,,,,,,,
003060,Lincoln Tech Inst Oak Lawn Il,,private,,,,,,,
003061,Lincoln Business Institute,,private,,,,,,,
003109,Briarcliffe College Lynbrook,,private,,,,,,,
003111,Briarcliffe College Patchogue,,private,,,,,,,
003117,Ohio Bible College,,private,,,,,,,
003138,Earl Paulk Institute,,private,,,,,,,
003169,Goucher Coll Post-Bacc Pre-Med,,private,,,,,,,
003359,Beth Benjamin Academy Ct,,private,,,,,,,
003361,National School Technology,,private,,,,,,,
003375,Essex Agriculture Tech Inst,,private,,,,,,,
003396,Frank Barney,,private,,,,,,,
003397,Framingham Union Sch Nursing,,private,,,,,,,
003439,Samaritan Hospital Sch Nursing,,private,,,,,,,
003488,Lawrence Memorial Hospital,,private,,,,,,,
003491,Udall Mark,,private,,,,,,,
003562,Magdalen College,,private,,,,,,,
003607,New York Chiropractic College,,private,,,,,,,
003746,Living Word College,,private,,,,,,,
003769,Univ Mass Stockbridge Sch Agri,,private,,,,,,,
003787,Baystate Medical Center,,private,,,,,,,
003902,Tuck Business Bridge Program,,private,,,,,,,
003906,American Coll Ca,,private,,,,,,,
003926,Johns Hopkins Sch Prof Studies,,private,,,,,,,
003951,National Educ Cntr Ky Clg Tech,,private,,,,,,,
003976,Worcester Industrial Tech Inst,,private,,,,,,,
004093,Cascade College,,private,,,,,,,
004123,Calif Christian College,,private,,,,,,,
004243,Baptist Health System Sch Med,,private,,,,,,,
004261,Calif Lakewood University,,private,,,,,,,
004379,Univ Alaska Southeast Ketchkn,,private,,,,,,,
004405,Los Angeles Co Coll Nrsng,,private,,,,,,,
004430,Lantos Tom,,private,,,,,,,
004437,Maharishi College Of Vedic Med,,private,,,,,,,
004598,Trinity Intl Univ So Fl Campus,,private,,,,,,,
004624,Atlantic Baptist Bible College,,private,,,,,,,
004625,Phoenix College Aeronautics,,private,,,,,,,
004717,Shasta Bible College,,private,,,,,,,
004754,Univ Alaska Southeast Sitka,,private,,,,,,,
004761,Bryant & Stratton College Va Beach,,private,,,,,,,
004782,Chubb Inst/Keystone School,,private,,,,,,,
004811,Townsend Harris University,,private,,,,,,,
004840,Ppcef,,private,,,,,,,
004927,Watkins Coll Art & Design,,private,,,,,,,
004965,Logan Coll Chiropractic,,private,,,,,,,
004987,American Armenian Intl Coll,,private,,,,,,,
004998,Yellowstone Baptist College,,private,,,,,,,
005018,Alexandria Hospital,,private,,,,,,,
005031,Atlanta School Biblical Stds,,private,,,,,,,
005082,Beulah Heights Bible College,,private,,,,,,,
005131,Baltimore City Cmty Coll Harbr,,private,,,,,,,
005155,Barrett J Gresham,,private,,,,,,,
005161,Delaware College Art & Design,,private,,,,,,,
005165,Aldine Middle Sch Gifted Prog,,private,,,,,,,
005173,Duke Univ Tip,,private,,,,,,,
005203,Calvary Baptist Bible College,,private,,,,,,,
005209,Baptist College Florida,,private,,,,,,,
005268,Georgetown University Sch Med,,private,,,,,,,
005307,Intrnatl College Naples,,private,,,,,,,
005309,International College Ft Myers,,private,,,,,,,
005310,Tenley Study Center,,private,,,,,,,
005323,Southrn College Fl,,private,,,,,,,
005335,Johns Hopkns Univ Cty,,private,,,,,,,
005337,Jackson Memorial Hospital,,private,,,,,,,
005338,Johns Hopkins U Intl Tlnt Srch,,private,,,,,,,
005346,Johns Hopkins Univ Sch Med,,private,,,,,,,
005388,Landmark Baptist College,,private,,,,,,,
005424,Goss Porter J,,private,,,,,,,
005489,Graceland College In,,private,,,,,,,
005504,Norfolk General Hospital,,private,,,,,,,
005547,Southside Regional Med Center,,private,,,,,,,
005559,Pasco-Hernando Cc NW Pt Richey,,private,,,,,,,
005576,Bon Secours Memorial Sch Nrsng,,private,,,,,,,
005578,Pasco-Hernando Cc Brooksville,,private,,,,,,,
005586,Rockingham Mem Hosp Sch Rad Tc,,private,,,,,,,
005669,Southside Va Cmty Coll Keysvle,,private,,,,,,,
005708,Teutonic Providence College,,private,,,,,,,
005729,De Paul Med Center Sch Rad Tec,,private,,,,,,,
005775,Northrn Virginia Cc Sterling,,private,,,,,,,
005780,Trinity Baptist College,,private,,,,,,,
005889,Waycross College,,private,,,,,,,
005891,Washington Musical Institute,,private,,,,,,,
005937,Kansas City Coll Bible School,,private,,,,,,,
005964,American University Caribbean,,private,,,,,,,
006028,Arkansas Valley Technical Inst,,private,,,,,,,
006125,Charity Hospital,,private,,,,,,,
006144,Georgia Bap Med Ctr Sch Of Rad,,private,,,,,,,
006241,Gateway College Evangelism,,private,,,,,,,
006299,"Inroads, Inc. Mo",,private,,,,,,,
006353,Institute Health Education,,private,,,,,,,
006418,Ashford University,,private,,,,,,,
006932,Iowa Central Cc Webster City,,private,,,,,,,
007026,Bay Ridge Christian College,,private,,,,,,,
007040,American Technical Institute,,private,,,,,,,
007110,Heald Business Coll Oakland,,private,,,,,,,
007111,Heald College Hayward,,private,,,,,,,
007136,Ponce College Tech,,private,,,,,,,
007235,Davenport University Lansing,,private,,,,,,,
007308,East Coast Bible College,,private,,,,,,,
007326,American Institute Design,,private,,,,,,,
007330,Aero-Space Institute,,private,,,,,,,
007974,Word Life Bible Institute,,private,,,,,,,
008895,Univ Akron Math & Sci Program,,private,,,,,,,
010000,Abbeville High School,AL,public,0.02376880741219211,Demanding,0.02376880741219211,Demanding,0.11139147111737346,Demanding,
010001,Abbeville Christian Academy,,private,,,,,,,
010002,Grace Lutheran School,,private,,,,,,,
010003,St Michael Catholic High Schl,,private,0.6889996733557746,Very Demanding,0.8193737921179164,Very Demanding,0.8193737921179164,Very Demanding,3.6237382097585464
010007,Stanford Christian Academy,,private,,,,,,,
010008,Mt Pleasant Christian School,,private,,,,,,,
010010,Addison High School,AL,public,0.30643020302099516,Demanding,0.30643020302099516,Demanding,0.21377467245141973,Demanding,
010012,Victory Christian School,,private,,,,,,,
010018,Hillsboro School,,private,,,,,,,
010019,Hoover Christian School,,private,,,,,,,
010021,Hope Christian School,,private,,,,,,,
010022,Kingwood Christian School,,private,,,,,,,
010025,Albertville High School,AL,public,-0.4669792259999488,Average,-0.33399595242718394,Average,-0.31634506545886565,Average,0.6427151063493185
010026,Evangel Christian School,,private,,,,,,,
010028,Evangel Classical Christian,,private,,,,,,,
010030,Marshall Christian Academy,,private,,,,,,,
010031,Renaissance Acad Prep Sch Boys,,private,,,,,,,
010035,Benjamin Russell High School,AL,public,-0.0673329853426117,Demanding,-0.0673329853426117,Demanding,0.03708230615986963,Demanding,
010036,Vineyard Christian Academy,,private,,,,,,,
010037,Jasper Academy,,private,,,,,,,
010038,Grassroots Sports Academy,,private,,,,,,,
010039,Government Street Christian Sc,,private,,,,,,,
010040,Woodland West Christian School,,private,,,,,,,
010041,Bethel Christian Academy,,private,,,,,,,
010043,Banks Academy,,private,,,,,,,
010046,Adullam House Christian Acdmy,,private,,,,,,,
010051,Victory Baptist Academy,,private,,,,,,,
010055,Alexandria High School,AL,public,-0.1967103693489174,Average,-0.1967103693489174,Average,-0.10392217088070184,Average,
010057,Princeton High School Intrntl,,private,,,,,,,
010058,Pineview Christian Academy,,private,,,,,,,
010059,Aliceville Christian School,,private,,,,,,,
010060,Aliceville High School,AL,public,0.1334191882641792,Demanding,0.1334191882641792,Demanding,0.14301344977963562,Demanding,
010064,Valiant Cross Academy,,private,,,,,,,
010069,Red Mountain Community School,,private,,,,,,,
010070,Winterboro High School,AL,public,-0.008741197482578962,Demanding,-0.008741197482578962,Demanding,-0.04067283411679288,Average,
010074,Glad Tidings Christian Academy,,private,,,,,,,
010080,Andalusia High School,AL,public,1.7785535312989122,Most Demanding,1.7785535312989122,Most Demanding,1.3422198822568339,Very Demanding,
010100,Straughn High School,AL,public,0.19244556293976806,Demanding,0.19244556293976806,Demanding,0.05612897323442479,Demanding,
010109,Donoho School,,private,0.4203612392484729,Demanding,0.27187724646688927,Demanding,0.27187724646688927,Demanding,2.4671685505395287
010110,Anniston High School,AL,public,0.26332823937056976,Demanding,0.26332823937056976,Demanding,0.3163614920277381,Demanding,
010123,Saks High School,AL,public,-0.8638960991186067,Below Average,-0.8638960991186067,Below Average,-0.8122877471618897,Below Average,
010124,Faith Christian High School,,private,,,,,,,
010125,Wellborn High School,AL,public,0.0020087119510023687,Demanding,0.0020087119510023687,Demanding,0.11157101255294194,Demanding,
010126,Harvest Educational Resource,,private,,,,,,,
010130,Arab High School,AL,public,-0.014836202477029466,Demanding,-0.014836202477029466,Demanding,-0.0030917001898552693,Average,
010132,Ardmore High School,AL,public,-0.2937198219051073,Average,-0.19603547050989784,Average,-0.19528173153270723,Average,0.9749210424770973
010140,Meek High School,AL,public,-0.32908930440479445,Average,-0.32908930440479445,Average,-0.17423793958661696,Average,
010143,Ashford Academy,,private,,,,,,,
010150,Ashford High School,AL,public,-0.21988089675116484,Average,-0.21988089675116484,Average,-0.10196960507710243,Average,
010155,Central High School of Clay County,AL,public,-0.4433078557366613,Average,-0.4433078557366613,Average,-0.39132493404659663,Average,
010157,Maranatha Christian Academy,,private,,,,,,,
010165,Ashville High School,AL,public,-0.8768632325129545,Below Average,-0.8768632325129545,Below Average,-0.7367795729536181,Below Average,
010170,Athens Bible School,,private,-1.6132467571751594,Below Average,-1.6132467571751594,Below Average,-1.6132467571751594,Below Average,
010175,Athens High School,AL,public,-0.16491806611973367,Average,-0.3172113686403943,Average,-0.29331126184305306,Average,1.3118711414217754
010180,Clements High School,AL,public,-0.27480837087374077,Average,-0.27480837087374077,Average,-0.20209029889626062,Average,
010181,Temple Christian Academy,,private,,,,,,,
010185,East Limestone High School,AL,public,0.11901340208971017,Demanding,0.20651680797430855,Demanding,-0.011815743767454825,Average,1.173660187917155
010186,Limestone County Area Vocational Technology,AL,public,,,,,,,
010187,Mount Pisgah Baptist Academy,,private,,,,,,,
010199,Atmore Christian School,,private,,,,,,,
010200,Escambia County High School,AL,public,-0.04914278747096658,Demanding,-0.04914278747096658,Demanding,-0.09810751191821268,Average,
010201,Crosspoint Christian Academy,,private,,,,,,,
010210,Etowah High School,AL,public,-0.03505005085997687,Demanding,-0.03505005085997687,Demanding,0.04404942905160494,Demanding,
010220,Auburn High School,AL,public,0.26444727035846993,Demanding,0.20506459944183528,Demanding,0.13708546850273878,Demanding,2.4457669931822523
010221,Covenant Presbytrian Chrstn Sc,,private,,,,,,,
010223,Lee-Scott Academy,,private,0.01816842887943787,Demanding,0.07436681390686431,Demanding,0.07436681390686431,Demanding,1.1548808803388697
010245,Baldwin County High School,AL,public,-0.45297353838392906,Average,-0.26985388789648124,Average,-0.23359036461128035,Average,0.6856881013609905
010248,North Baldwin Center For Technology,AL,public,,,,,,,
010251,Alma Bryant High School,AL,public,-0.7054933933296874,Average,-0.7242698924543102,Average,-0.6851961108808935,Below Average,0.834968706358955
010265,Phillips High School,AL,public,-0.33659812544120826,Average,-0.33659812544120826,Average,-0.20075469208003335,Average,
010300,Berry High School,AL,public,-0.5029925383447026,Average,-0.5029925383447026,Average,-0.372225683749698,Average,
010306,Bessemer Academy,,private,,,,,,,
010309,Flint Hills Christian School,,private,,,,,,,
010311,Bessemer City High School,AL,public,-0.17935521618944328,Average,-0.17935521618944328,Average,-0.11284780862087555,Average,
010312,Harvest Christian School,,private,,,,,,,
010313,Gods Church Christian Academy,,private,,,,,,,
010320,Oak Grove High School,AL,public,0.1268607174831833,Demanding,0.1268607174831833,Demanding,0.10907145986180336,Demanding,
010322,Brentwood Christian Academy,,private,,,,,,,
010324,Southcrest Christian School,,private,,,,,,,
010328,Hoover High School,AL,public,0.14299587951875598,Demanding,0.1050962754479402,Demanding,0.12515132547082186,Demanding,2.462966134489007
010332,Briarwood Christian HS,,private,-0.09288565859492934,Demanding,-0.10954119629232366,Demanding,-0.10954119629232366,Average,2.3447262913906175
010333,Bridgepoint Christian School,,private,,,,,,,
010335,Altamont School,,private,0.5742085996743672,Very Demanding,0.6492622911538672,Very Demanding,0.6492622911538672,Demanding,2.8280814666107137
010342,Cathedral Christian School,,private,,,,,,,
010344,Central Park Christian School,,private,,,,,,,
010346,Mountain View Baptist School,,private,,,,,,,
010348,Center Point High School,AL,public,-0.41874254478105766,Average,-0.41874254478105766,Average,-0.26724568120101816,Average,
010349,Berean Baptist Christian Sch,,private,,,,,,,
010355,Ramsay High School,AL,public,-0.7698916078641704,Below Average,-0.6171613233295179,Average,-0.5636619787722246,Average,0.3513734535982706
010356,Gan Gan And Pa Pa Learn Res Ct,,private,,,,,,,
010357,Restoration Academy,,private,,,,,,,
010358,Gateway Baptist Academy,,private,,,,,,,
010359,Glen Iris Baptist School,,private,,,,,,,
010362,Good Samaritan Christian Sch,,private,,,,,,,
010363,Cahaba School,,private,,,,,,,
010364,Heritage Academy,,private,,,,,,,
010366,Huffman High SchoolMagnet,AL,public,-0.5705072978508785,Average,-0.5705072978508785,Average,-0.4976707929036528,Average,
010369,Jefferson Christian Academy,,private,,,,,,,
010370,JOHN CARROLL CATHOLIC HIGH SCHOOL,AL,private,0.03076267014763801,Demanding,0.22263189608676778,Demanding,0.1511393058186848,Demanding,3.3324488848532035
010375,Minor High School,AL,public,-0.36133731078500486,Average,-0.36133731078500486,Average,-0.2794792549338326,Average,
010376,Minor Christian HS,,private,,,,,,,
010378,Maranathan Academy,,private,,,,,,,
010380,Mountain Brook High School,AL,public,0.5523463747566989,Very Demanding,0.6475267809802626,Very Demanding,0.6475267809802626,Demanding,3.922568506997448
010381,Spain Park High School,AL,public,0.13153399739759564,Demanding,0.23354165195501964,Demanding,0.2894945026027723,Demanding,3.300181064580904
010382,Westminster Sch Oak Mountain,,private,-0.32934588280825455,Average,-0.6842825809437303,Average,-0.6842825809437303,Below Average,0.6676647315066473
010383,Islamic Academy Of Alabama,,private,,,,,,,
010395,Parker High School,AL,public,-0.4140910878107201,Average,-0.4140910878107201,Average,-0.2707103116384453,Average,
010399,Cornerstone School Of Alabama,,private,,,,,,,
010402,The Arlington School,,private,,,,,,,
010404,Parkway Christian Academy,,private,,,,,,,
010405,George Washington Carver High School,AL,public,-0.8376239078279685,Below Average,-0.6831311827695408,Average,-0.613414059724642,Below Average,0.3162685324627242
010408,Oak Mountain High School,AL,public,0.1508485224055218,Demanding,0.2374572456154797,Demanding,0.19880523513695664,Demanding,2.136572177289246
010409,Winewood Christian School,,private,,,,,,,
010414,Heritage Christian Academy,,private,,,,,,,
010415,Shades Valley High School,AL,public,-0.581519582705121,Average,-0.4603251863700333,Average,-0.10623396893268248,Average,0.7411491597558791
010416,Springville Rd Cmty Church Sch,,private,,,,,,,
010425,Wenonah High School,AL,public,-0.1723270308899007,Average,-0.1723270308899007,Average,-0.13606049567889217,Average,
010429,Ephesus Academy,,private,,,,,,,
010435,JacksonOlin High School,AL,public,-0.3005055821643843,Average,-0.3005055821643843,Average,-0.08197340943974706,Average,
010440,Woodlawn High SchoolMagnet,AL,public,-1.208154680086613,Below Average,-1.0158900286543795,Below Average,-0.9678078122636025,Below Average,0.18895456771082503
010442,Word of Life Christian School,,private,,,,,,,
010445,Beulah High School,AL,public,0.4117669014590006,Demanding,0.4117669014590006,Demanding,0.5093489756095773,Demanding,
010450,JB Pennington High School,AL,public,-0.16540690695216645,Average,-0.16540690695216645,Average,-0.025568000630735922,Average,
010455,Susan Moore High School,AL,public,0.2605577823187517,Demanding,0.2605577823187517,Demanding,0.3773052696878493,Demanding,
010465,Boaz High School,AL,public,0.03536756784663963,Demanding,0.03536756784663963,Demanding,0.08460021950712644,Demanding,
010470,Sardis High School,AL,public,-0.1247474067449095,Average,-0.1247474067449095,Average,-0.0516835283304881,Average,
010488,Higher Ground Academy,,private,,,,,,,
010490,Cold Springs High School,AL,public,-0.9896081756340549,Below Average,-0.9896081756340549,Below Average,-0.7626626133202274,Below Average,
010500,Southern Normal HS,,private,,,,,,,
010505,TR Miller High School,AL,public,0.06487981300525834,Demanding,0.1901297477747162,Demanding,0.1253951945248472,Demanding,1.2021309877957884
010510,W S Neal High School,AL,public,-0.17366761890078625,Average,-0.17366761890078625,Average,-0.05584286455408061,Average,
010530,Brookwood High School,AL,public,-0.5966177114894115,Average,-0.6269267567135128,Average,-0.5328810577929092,Average,0.49391031440115807
010540,Pike County High School,AL,public,0.5216902980231755,Very Demanding,0.5216902980231755,Very Demanding,0.3632045689681515,Demanding,
010547,Mountain View Christian Acad,,private,,,,,,,
010550,Choctaw County High School,AL,public,0.7278720234823458,Very Demanding,0.7278720234823458,Very Demanding,0.740709150788333,Very Demanding,
010553,Patrician Academy,,private,,,,,,,
010554,Career Technical Center,AL,public,,,,,,,
010555,Calera High,AL,public,-0.2919126499483238,Average,-0.21542915710347063,Average,-0.1894787216165548,Average,1.239869538857039
010560,Calhoun High School,AL,public,-0.1462498221087305,Average,-0.1462498221087305,Average,-0.1433308198404005,Average,
010570,Wilcox Central High School,AL,public,0.9900621027895294,Very Demanding,0.9900621027895294,Very Demanding,1.1802864667879198,Very Demanding,
010572,Wilcox Academy,,private,,,,,,,
010583,Lyman Ward Military Academy,,private,,,,,,,
010585,Carbon Hill High School,AL,public,-0.25988939070310274,Average,-0.25988939070310274,Average,-0.1916806518236516,Average,
010586,Escambia Academy,,private,,,,,,,
010587,Carbon Hill Christian Academy,,private,,,,,,,
010598,Pickens Academy,,private,,,,,,,
010607,Catherine Academy,,private,,,,,,,
010620,Cherokee County High School,AL,public,-0.2539987953262826,Average,-0.07798489110166973,Demanding,-0.06373307005551443,Average,1.412976781157685
010630,Bibb County High School,AL,public,-0.17627343270989781,Average,-0.17627343270989781,Average,-0.06238068117405183,Average,
010637,Cahawba Christian Academy,,private,,,,,,,
010645,Washington County High School,AL,public,0.7116310187680891,Very Demanding,0.7116310187680891,Very Demanding,0.6728702652710333,Demanding,
010648,Chelsea High School,AL,public,0.20010182937662704,Demanding,0.31547477379057015,Demanding,0.28027765258297643,Demanding,2.242647576623527
010655,Cherokee High School,AL,public,-0.09804161459692858,Demanding,-0.09804161459692858,Demanding,-0.011244492977163671,Average,
010660,Childersburg High School,AL,public,-0.3371653824431967,Average,-0.3371653824431967,Average,-0.22689489565243756,Average,
010661,Faith Christian Academy,,private,,,,,,,
010667,Northway Christian Academy,,private,,,,,,,
010670,Citronelle High School,AL,public,-0.20022069994876657,Average,-0.07124621571744133,Demanding,-0.04265406703433915,Average,1.0403348604525409
010674,Wesleyan Christian Academy,,private,,,,,,,
010675,Chilton County High School,AL,public,-0.5331019455177972,Average,-0.47378076218643483,Average,-0.4416034160000631,Average,0.6142756952230649
010681,W A Lecroy Career  Technical Center,AL,public,,,,,,,
010683,Living Waters Christian School,,private,,,,,,,
010689,ClayChalkville High School,AL,public,-0.44612759948992803,Average,-0.44612759948992803,Average,-0.32104679562781846,Average,
010690,Barbour County High School,AL,public,0.8644153790801349,Very Demanding,0.8644153790801349,Very Demanding,0.5430081660723656,Demanding,
010691,Harvest Time Chrn Boarding Sch,,private,,,,,,,
010695,Cleveland High School,AL,public,-0.3301321648909378,Average,-0.3301321648909378,Average,-0.16262956247524477,Average,
010729,Cathedral Christian Academy,,private,,,,,,,
010738,One Sense Church School,,private,,,,,,,
010745,Houston County High School,AL,public,0.1643920129505801,Demanding,0.1643920129505801,Demanding,0.32684870591510323,Demanding,
010750,Shelby County High School,AL,public,0.3436480512562026,Demanding,0.3436480512562026,Demanding,0.42821524552349755,Demanding,
010751,Cornerstone Christian School,,private,,,,,,,
010755,Career Technical Education Center,AL,public,,,,,,,
010760,Cordova High School,AL,public,0.11049532730904613,Demanding,0.11049532730904613,Demanding,0.09524634711921126,Demanding,
010761,Jericho Way Christian Academy,,private,,,,,,,
010763,Apostolic Christian School,,private,,,,,,,
010767,Paul W Bryant High School,AL,public,-1.12802692690198,Below Average,-1.0136511950944265,Below Average,-0.9612838990085268,Below Average,0.37428996658286556
010768,Tuscaloosa Christian School,,private,,,,,,,
010770,Cottonwood High School,AL,public,-0.2556140896824997,Average,-0.2556140896824997,Average,-0.08440566303961304,Average,
010777,Three Springs Of Courtland,,private,,,,,,,
010778,Open Door Christian School,,private,,,,,,,
010783,Masters Plan,,private,,,,,,,
010785,Crossville High School,AL,public,-0.44830350447058365,Average,-0.44830350447058365,Average,-0.3867478083651285,Average,
010795,Cullman High School,AL,public,0.05565222884167411,Demanding,0.017005533571212296,Demanding,0.01740044097630198,Demanding,1.8195985833883797
010796,Cullman Christian School,,private,,,,,,,
010800,Fairview High School,AL,public,-0.2180697048075426,Average,-0.2180697048075426,Average,-0.12343924570819952,Average,
010802,Good Hope High School,AL,public,-0.5938914920429039,Average,-0.5938914920429039,Average,-0.5166886527566267,Average,
010806,Saint Bernard Preparatory Sch,,private,0.05241657069867734,Demanding,-0.018431134873280245,Demanding,-0.018431134873280245,Average,1.5726576688595082
010810,West Point High School,AL,public,-0.6276671026494502,Average,-0.6276671026494502,Average,-0.5387363990816818,Average,
010818,Old Path Christian Academy,,private,,,,,,,
010820,Dadeville High School,AL,public,0.8446237699559304,Very Demanding,0.8446237699559304,Very Demanding,0.7074988982325693,Very Demanding,
010828,Daleville High School,AL,public,-0.08179526507396581,Demanding,0.105604237297374,Demanding,0.10914676583090488,Demanding,0.6365728235299558
