rpopall_24,state,distid,name,stabrev,saepov5_17rv_24,rpop5_17v_24
4294,9,90,Ashford School District,CT,30,350
19228,9,120,Avon School District,CT,103,3555
3699,9,150,Barkhamsted School District,CT,13,280
20490,9,210,Berlin School District,CT,182,2901
5354,9,240,Bethany School District,CT,17,421
20898,9,270,Bethel School District,CT,271,3377
21872,9,330,Bloomfield School District,CT,393,2513
4934,9,360,Bolton School District,CT,41,753
2448,9,390,Bozrah School District,CT,23,305
28581,9,420,Branford School District,CT,197,3165
153166,9,450,Bridgeport School District,CT,6036,24416
62434,9,510,Bristol School District,CT,1530,8735
17993,9,540,Brookfield School District,CT,180,2925
8659,9,570,Brooklyn School District,CT,101,1213
1095,9,630,Canaan School District,CT,5,83
5169,9,660,Canterbury School District,CT,52,751
10282,9,690,Canton School District,CT,77,1624
2204,9,720,Chaplin School District,CT,14,128
29483,9,750,Cheshire School District,CT,193,4829
3820,9,780,Chester School District,CT,10,207
13436,9,810,Clinton School District,CT,130,1617
15675,9,840,Colchester School District,CT,92,2548
1380,9,870,Colebrook School District,CT,4,73
5354,9,900,Columbia School District,CT,47,741
1589,9,930,Cornwall School District,CT,12,107
12426,9,960,Coventry School District,CT,113,1866
14496,9,990,Cromwell School District,CT,90,1946
88814,9,1020,Danbury School District,CT,2155,12278
22069,9,1050,Darien School District,CT,94,5208
4499,9,1080,Deep River School District,CT,17,274
12649,9,1110,Derby School District,CT,361,1620
5296,9,1170,East Granby School District,CT,40,884
9044,9,1200,East Haddam School District,CT,59,1185
12959,9,1230,East Hampton School District,CT,72,1777
51843,9,1260,East Hartford School District,CT,1650,8078
28228,9,1290,East Haven School District,CT,438,3463
18838,9,1320,East Lyme School District,CT,117,2577
11365,9,1350,East Windsor School District,CT,175,1325
1690,9,1380,Eastford School District,CT,9,212
7836,9,1410,Easton School District,CT,35,1010
16683,9,1440,Ellington School District,CT,109,2656
42800,9,1470,Enfield School District,CT,648,5560
6861,9,1500,Essex School District,CT,22,384
63379,9,1530,Fairfield School District,CT,397,10549
27130,9,1560,Farmington School District,CT,230,4282
1877,9,1590,Franklin School District,CT,21,260
35709,9,1620,Glastonbury School District,CT,246,6112
11073,9,1680,Granby School District,CT,69,1887
65203,9,1710,Greenwich School District,CT,626,11845
11490,9,1740,Griswold School District,CT,177,1751
38709,9,1770,Groton School District,CT,402,4619
22314,9,1800,Guilford School District,CT,113,3624
61862,9,1860,Hamden School District,CT,840,7693
1771,9,1890,Hampton School District,CT,10,95
122971,9,1920,Hartford School District,CT,6584,19440
1928,9,1950,Hartland School District,CT,14,259
9240,9,2010,Hebron School District,CT,32,775
3062,9,2040,Kent School District,CT,11,232
18190,9,2070,Killingly School District,CT,239,2366
7197,9,2130,Lebanon School District,CT,65,1072
15532,9,2160,Ledyard School District,CT,148,2670
4228,9,2190,Lisbon School District,CT,51,662
17884,9,2280,Madison School District,CT,60,3043
60646,9,2310,Manchester School District,CT,1390,8263
26297,9,2340,Mansfield School District,CT,90,1125
6229,9,2370,Marlborough School District,CT,19,512
61520,9,2400,Meriden School District,CT,1652,9641
48625,9,2490,Middletown School District,CT,663,5162
52612,9,2520,Milford School District,CT,342,6557
19396,9,2550,Monroe School District,CT,128,3481
18529,9,2580,Montville School District,CT,207,2525
32415,9,2640,Naugatuck School District,CT,837,4892
75294,9,2670,New Britain School District,CT,3352,11448
21169,9,2700,New Canaan School District,CT,155,4884
13939,9,2730,New Fairfield School District,CT,108,2333
6753,9,2760,New Hartford School District,CT,21,502
135485,9,2790,New Haven School District,CT,4888,20192
27579,9,2820,New London School District,CT,758,3614
28861,9,2850,New Milford School District,CT,356,4366
31013,9,2880,Newington School District,CT,377,4141
27894,9,2910,Newtown School District,CT,181,4764
1610,9,2940,Norfolk School District,CT,7,96
13692,9,2970,North Branford School District,CT,77,1973
3257,9,3000,North Canaan School District,CT,24,273
24492,9,3030,North Haven School District,CT,171,3603
5189,9,3060,North Stonington School District,CT,30,781
93603,9,3090,Norwalk School District,CT,1870,12540
40436,9,3120,Norwich School District,CT,1058,5983
10680,9,3180,Old Saybrook School District,CT,60,1133
14436,9,3210,Orange School District,CT,52,1238
13040,9,3240,Oxford School District,CT,95,1937
15343,9,3270,Plainfield School District,CT,257,2246
17799,9,3300,Plainville School District,CT,206,2261
11978,9,3330,Plymouth School District,CT,223,1582
4371,9,3360,Pomfret School District,CT,18,622
9562,9,3390,Portland School District,CT,73,1339
4825,9,3420,Preston School District,CT,30,704
9452,9,3480,Putnam School District,CT,157,1241
8998,9,3510,Redding School District,CT,37,1040
15975,9,3600,Regional School District 01,CT,41,671
15180,9,3630,Regional School District 04,CT,40,804
28977,9,3660,Regional School District 05,CT,96,2680
13442,9,3720,Regional School District 07,CT,38,915
18669,9,3750,Regional School District 08,CT,53,1393
16834,9,3780,Regional School District 09,CT,28,957
15216,9,3520,Regional School District 10,CT,87,2491
5590,9,3570,Regional School District 11,CT,31,359
7696,9,3530,Regional School District 12,CT,43,913
11585,9,3535,Regional School District 13,CT,61,1669
13453,9,3536,Regional School District 14,CT,111,1685
28175,9,3537,Regional School District 15,CT,184,4039
15739,9,3538,Regional School District 16,CT,162,2262
14904,9,3539,Regional School District 17,CT,79,2095
10170,9,3540,Regional School District 18,CT,58,1294
36244,9,5,Regional School District 19,CT,75,1062
15161,9,99501,Regional School District 20,CT,100,1958
25697,9,3810,Ridgefield School District,CT,109,5127
21171,9,3840,Rocky Hill School District,CT,191,2929
4246,9,3900,Salem School District,CT,26,688
4254,9,3930,Salisbury School District,CT,21,399
1615,9,3960,Scotland School District,CT,7,107
17189,9,3990,Seymour School District,CT,266,2453
2718,9,4020,Sharon School District,CT,15,167
41944,9,4050,Shelton School District,CT,436,5468
3621,9,4080,Sherman School District,CT,20,482
24900,9,4110,Simsbury School District,CT,175,4576
10415,9,4140,Somers School District,CT,53,1472
27339,9,4170,South Windsor School District,CT,202,4924
44181,9,4230,Southington School District,CT,386,6620
2990,9,4260,Sprague School District,CT,52,458
11651,9,4290,Stafford School District,CT,162,1628
139064,9,4320,Stamford School District,CT,2567,18072
3666,9,4350,Sterling School District,CT,51,510
18477,9,4380,Stonington School District,CT,147,2362
53944,9,4440,Stratford School District,CT,864,7792
15998,9,4470,Suffield School District,CT,87,2319
7638,9,4500,Thomaston School District,CT,106,1071
9416,9,4530,Thompson School District,CT,59,1177
14791,9,4560,Tolland School District,CT,100,2547
36020,9,4590,Torrington School District,CT,740,4609
37945,9,4620,Trumbull School District,CT,284,7180
804,9,4650,Union School District,CT,1,94
30687,9,4680,Vernon School District,CT,600,3662
2633,9,4710,Voluntown School District,CT,23,330
