School Name,State Name [Public School] Latest available year,State Name [Public School] 2024-25,School Name [Public School] 2024-25,School ID (7-digit) – NCES Assigned [Public School] 2024-25,County Name [Public School] 2024-25,County Number [Public School] 2024-25,Web Site URL [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location ZIP [Public School] 2024-25,Mailing Address 1 [Public School] 2024-25,Phone Number [Public School] 2024-25,School Type [Public School] 2024-25,Agency Type [District] 2024-25,Latitude [Public School] 2024-25,Longitude [Public School] 2024-25,State School ID [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Grade 9 offered [Public School] 2024-25,Grade 10 offered [Public School] 2024-25,Grade 11 offered [Public School] 2024-25,Grade 12 offered [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2024-25,Grades 9-12 Students [Public School] 2024-25,Grade 9 Students [Public School] 2024-25,Grade 10 Students [Public School] 2024-25,Grade 11 Students [Public School] 2024-25,Grade 12 Students [Public School] 2024-25,Male Students [Public School] 2024-25,Female Students [Public School] 2024-25,Full-Time Equivalent (FTE) Teachers [Public School] 2024-25,Pupil/Teacher Ratio [Public School] 2024-25
270 HOPKINS ALTERNATIVE,Minnesota,MINNESOTA,270 Hopkins Alternative,2702875,Hennepin County,27053,†,2400 ROYALS DR,MINNETONKA,55305,2400 ROYALS DR,9529884509,4-Alternative Education School,9-Specialized public school district,44.957781,-93.412898,MN-060287-060287626,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
270 HOPKINS NORTH JR HIGH ALC,Minnesota,MINNESOTA,270 Hopkins North Jr High ALC,2703397,Hennepin County,27053,†,10700 CEDAR LAKE RD,MINNETONKA,55305,10700 CEDAR LAKE RD,9529884843,4-Alternative Education School,9-Specialized public school district,44.954409,-93.413825,MN-060287-060287709,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
277 WESTONKA AREA LEARNING ACADEMY,Minnesota,MINNESOTA,277 Westonka Area Learning Academy,2703554,Hennepin County,27053,†,5905 SUNNYFIELD RD E,MINNETRISTA,55364,5901 SUNNYFIELD RD E,9524918258,4-Alternative Education School,9-Specialized public school district,44.954911,-93.672008,MN-060287-060287754,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
279 EXCEL,MINNESOTA,MINNESOTA,279 Excel,2712756,Hennepin County,27053,http://online.district279.org/,11200 93RD AVE N,MAPLE GROVE,55369,11200 93RD AVE N,7633917163,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.124652,-93.423204,MN-010279-010279813,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
279ONLINE LEARNING PROGRAM 9-12,MINNESOTA,MINNESOTA,279Online Learning Program 9-12,2705371,Hennepin County,27053,http://online.district279.org/,7300 BOONE AVE N,BROOKLYN PARK,55428,7300 BOONE AVE N,7633918670,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.087995,-93.390784,MN-010279-010279812,High,1-Yes,1-Yes,1-Yes,1-Yes,149,149,26,30,45,48,64,85,18.93,7.87
27J ONLINE ACADEMY,COLORADO,COLORADO,27J Online Academy,0806836,Adams County,08001,†,89 N. 6TH AVENUE,BRIGHTON,80601,18551 E. 160TH AVE,3036552527,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.988300,-104.816500,CO-0040-6687,High,1-Yes,1-Yes,1-Yes,1-Yes,336,255,33,61,78,83,159,177,21.00,16.00
283 ST LOUIS PK INDEPENDENT STUDY,Minnesota,MINNESOTA,283 St Louis Pk Independent Study,2703562,Hennepin County,27053,†,6425 W 33RD ST,SAINT LOUIS PARK,55426,6425 W 33RD ST,9529286000,4-Alternative Education School,9-Specialized public school district,44.943053,-93.361287,MN-060287-060287762,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
283-IND STDY 15 AND UNDER - I.S.,Minnesota,MINNESOTA,283-Ind Stdy 15 and Under - I.S.,2704216,Hennepin County,27053,†,6425 W 33RD ST,SAINT LOUIS PARK,55426,6425 W 33RD ST,9529286000,4-Alternative Education School,9-Specialized public school district,44.943053,-93.361287,MN-060287-060287777,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
283-ST. LOUIS PARK ALC,Minnesota,MINNESOTA,283-St. Louis Park ALC,2703561,Hennepin County,27053,†,6425 W 33RD ST,SAINT LOUIS PARK,55426,6425 W 33RD ST,9529286399,4-Alternative Education School,9-Specialized public school district,44.943053,-93.361287,MN-060287-060287761,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
3B JUVENILE DETENTION CENTER,Idaho,IDAHO,3B JUVENILE DETENTION CENTER,1600605,Bonneville County,16019,†,950 ENVIRONMENTAL WAY,IDAHO FALLS,83401,950 ENVIRONMENTAL WAY,2085422947,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,43.515684,-112.014697,ID-091-1152,Other,1-Yes,1-Yes,1-Yes,1-Yes,9,9,2,2,5,0,6,3,1.00,9.00
4122 - EAGLE RIDGE ACADEMY - ALC,MINNESOTA,MINNESOTA,4122 - Eagle Ridge Academy - ALC,2712817,Hennepin County,27053,†,11111 BREN RD W,MINNETONKA,55343,11111 BREN RD W,9527467760,4-Alternative Education School,9-Specialized public school district,44.900350,-93.418351,MN-060287-060287849,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
4122 - EAGLE RIDGE ACADEMY - IS,MINNESOTA,MINNESOTA,4122 - Eagle Ridge Academy - IS,2704823,Hennepin County,27053,†,11111 BREN RD W,MINNETONKA,55343,11111 BREN RD W,9527467760,4-Alternative Education School,9-Specialized public school district,44.900350,-93.418351,MN-060287-060287854,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
4126 - PRAIRIE SEEDS ACADEMY - IS,Minnesota,MINNESOTA,4126 - Prairie Seeds Academy - IS,2704476,Hennepin County,27053,†,6200 W BROADWAY AVE,BROOKLYN PARK,55428,6200 W BROADWAY AVE,7634501388,4-Alternative Education School,9-Specialized public school district,45.066202,-93.374598,MN-060287-060287792,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
5280 HIGH SCHOOL,COLORADO,COLORADO,5280 High School,0806756,Denver County,08031,†,1200 W MISSISSIPPI AVE,DENVER,80223,1200 W MISSISSIPPI AVE,7209191056,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,39.696390,-105.001871,CO-0880-2994,High,1-Yes,1-Yes,1-Yes,1-Yes,109,109,7,23,42,37,56,50,12.81,8.51
54TH STREET ACADEMY,MICHIGAN,MICHIGAN,54th Street Academy,2608622,Kent County,26081,http://www.kvilleps.org,173 54TH ST SW,GRAND RAPIDS,49548,173 54TH ST SW,6165317433,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,42.868235,-85.668427,MI-41140-02449,High,1-Yes,1-Yes,1-Yes,1-Yes,94,94,0,11,40,43,51,43,3.46,27.17
5RIVERSONLINE SECONDARY,MINNESOTA,MINNESOTA,5RiversOnline Secondary,2705447,Goodhue County,27049,http://www.5riversonline.org/,395 GUERNSEY LN,RED WING,55066,395 GUERNSEY LN,6513884441,1-Regular school,9-Specialized public school district,44.536797,-92.517130,MN-616051-616051201,High,1-Yes,1-Yes,1-Yes,1-Yes,188,164,16,32,48,68,78,110,12.22,15.38
6-12 SUMMERS COUNTY COMPREHENSIVE HS,WEST VIRGINIA,WEST VIRGINIA,6-12 Summers County Comprehensive HS,5401603,Summers County,54089,†,37 Bobcat Dr,Hinton,25951,37 Bobcat Dr,3044666040,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,37.707193,-80.888135,WV-8100000-81503,High,1-Yes,1-Yes,1-Yes,1-Yes,627,367,104,81,89,93,331,296,51.00,12.29
6-12TH GRADE BUILDING,Minnesota,MINNESOTA,6-12th Grade Building,2700652,Big Stone County,27011,http://www.graceville.k12.mn.us,712 3RD ST,GRACEVILLE,56240,PO BOX 398,3207487233,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.569245,-96.433228,MN-012888-012888003,High,1-Yes,1-Yes,1-Yes,1-Yes,133,76,25,17,10,24,61,72,10.95,12.15
622 ALTERNATIVE MIDDLE/HIGH SCHOOL,Minnesota,MINNESOTA,622 Alternative Middle/High School,2701044,Ramsey County,27123,†,2520 12TH AVE E,NORTH SAINT PAUL,55109,2520 12TH AVE E,6517487610,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,45.016149,-92.995065,MN-010622-010622040,High,1-Yes,1-Yes,1-Yes,1-Yes,30,30,0,0,6,24,18,12,7.47,4.02
622 ONLINE HIGH SCHOOL,MINNESOTA,MINNESOTA,622 Online High School,2705412,Ramsey County,27123,†,2520 12TH AVE E,NORTH SAINT PAUL,55109,2520 12TH AVE E,6517487610,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.016149,-92.995065,MN-010622-010622049,High,1-Yes,1-Yes,1-Yes,1-Yes,74,74,0,14,30,30,29,45,0.00,†
70 ONLINE,Colorado,COLORADO,70 Online,0806496,Pueblo County,08101,†,301 LANE 28,PUEBLO,81001,301 LANE 28,7192956518,4-Alternative Education School,1-Regular local school district that is NOT a component of a supervisory union,38.272265,-104.520621,CO-2700-5990,Other,1-Yes,1-Yes,1-Yes,1-Yes,209,167,19,36,44,68,129,80,11.16,18.73
882 ONLINE,MINNESOTA,MINNESOTA,882 Online,2705499,Wright County,27171,http://www.monticello.k12.mn.us,302 WASHINGTON ST,MONTICELLO,55362,302 WASHINGTON ST,7632723000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,45.301028,-93.783605,MN-010882-010882092,High,1-Yes,1-Yes,1-Yes,1-Yes,80,71,7,16,15,33,37,43,0.00,†
916 ALC PM,MINNESOTA,MINNESOTA,916 ALC PM,2712948,Ramsey County,27123,http://www.916schools.org/,70 COUNTY ROAD B2 W,LITTLE CANADA,55117,70 COUNTY ROAD B2 W,6514155609,4-Alternative Education School,9-Specialized public school district,45.012785,-93.105163,MN-060916-060916463,High,1-Yes,1-Yes,1-Yes,1-Yes,47,47,0,1,5,41,27,20,0.00,†
916 MAHTOMEDI ACADEMY,Minnesota,MINNESOTA,916 Mahtomedi Academy,2704430,Washington County,27163,http://www.nemetro.k12.mn.us,3300 CENTURY AVE,WHITE BEAR LAKE,55110,3300 CENTURY AVE,6514155680,4-Alternative Education School,9-Specialized public school district,45.041272,-92.981276,MN-060916-060916062,High,1-Yes,1-Yes,1-Yes,1-Yes,29,29,0,0,0,29,16,13,5.83,4.97
917 CASE,MINNESOTA,MINNESOTA,917 CASE,2705108,Dakota County,27037,http://www.isd917.org/,14300 BISCAYNE AVE W,ROSEMOUNT,55068,14300 BISCAYNE AVE W,6514238100,2-Special education school,9-Specialized public school district,44.741403,-93.114540,MN-060917-060917900,Other,1-Yes,1-Yes,1-Yes,1-Yes,5,5,0,1,0,4,4,1,2.17,2.30
917 DASH,Minnesota,MINNESOTA,917 DASH,2703897,Dakota County,27037,http://www.isd917.org,1300 145TH ST,ROSEMOUNT,55068,1300 145TH ST,6514238401,2-Special education school,9-Specialized public school district,44.737251,-93.078065,MN-060917-060917500,Other,1-Yes,1-Yes,1-Yes,1-Yes,20,17,2,0,2,13,13,7,5.00,4.00
917 DCALS MAIN,Minnesota,MINNESOTA,917 DCALS Main,2702155,Dakota County,27037,http://www.isd917.org,1300 E 145TH ST,ROSEMOUNT,55068,1300 E 145TH ST,6514238259,4-Alternative Education School,9-Specialized public school district,44.737251,-93.078065,MN-060917-060917071,High,1-Yes,1-Yes,1-Yes,1-Yes,112,112,0,0,30,82,63,49,13.00,8.62
917 DCALS MAIN EXTENDED DAY EDOP,Minnesota,MINNESOTA,917 DCALS Main Extended Day EDOP,2704253,Dakota County,27037,http://www.isd917.org,1300 145TH ST E,ROSEMOUNT,55068,1300 145TH ST E,6514238259,4-Alternative Education School,9-Specialized public school district,44.737251,-93.078065,MN-060917-060917078,High,1-Yes,1-Yes,1-Yes,1-Yes,10,10,0,0,0,10,4,6,0.00,†
917 DCALS NORTH,Minnesota,MINNESOTA,917 DCALS North,2704250,Dakota County,27037,http://www.isd917.org,150 MARIE AVE E,WEST SAINT PAUL,55118,150 MARIE AVE E,6514238259,4-Alternative Education School,9-Specialized public school district,44.891051,-93.077475,MN-060917-060917080,High,1-Yes,1-Yes,1-Yes,1-Yes,54,54,0,0,16,38,22,32,8.00,6.75
917 DCALS NORTH EXTENDED DAY (EDOP),Minnesota,MINNESOTA,917 DCALS North Extended Day (EDOP),2704256,Dakota County,27037,http://www.isd917.org,150 MARIE AVE E,WEST SAINT PAUL,55118,150 MARIE AVE E,6514238259,4-Alternative Education School,9-Specialized public school district,44.891051,-93.077475,MN-060917-060917079,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,–,–
917 DEAF/HARD OF HEARING,Minnesota,MINNESOTA,917 Deaf/Hard of Hearing,2702124,Dakota County,27037,http://www.isd917.org,357 9TH AVE N,SOUTH SAINT PAUL,55075,357 9TH AVE N,6126660473,2-Special education school,9-Specialized public school district,44.895570,-93.045879,MN-060917-060917060,Other,1-Yes,1-Yes,1-Yes,1-Yes,29,3,0,0,2,1,15,14,19.50,1.49
917 IDEA,Minnesota,MINNESOTA,917 IDEA,2702121,Dakota County,27037,http://www.isd917.org,14300 BISCAYNE AVE W,ROSEMOUNT,55068,14300 BISCAYNE AVE W,6514238100,2-Special education school,9-Specialized public school district,44.741403,-93.114540,MN-060917-060917051,Other,1-Yes,1-Yes,1-Yes,1-Yes,37,24,4,5,6,9,30,7,7.50,4.93
917 NEW CHANCE,MINNESOTA,MINNESOTA,917 New Chance,2704798,Dakota County,27037,http://www.isd917.org/,1600 HIGHWAY 55,HASTINGS,55033,1600 HIGHWAY 55,6514384980,4-Alternative Education School,9-Specialized public school district,44.741501,-92.888689,MN-060917-060917104,High,1-Yes,1-Yes,1-Yes,1-Yes,3,3,1,0,1,1,3,0,0.00,†
917 RIVERSIDE SCHOOL,Minnesota,MINNESOTA,917 Riverside School,2702600,Dakota County,27037,http://www.isd917.org,1600 HIGHWAY 55,HASTINGS,55033,1600 HIGHWAY 55,6514384980,4-Alternative Education School,9-Specialized public school district,44.741501,-92.888689,MN-060917-060917105,High,1-Yes,1-Yes,1-Yes,1-Yes,17,15,3,5,5,2,11,6,3.83,4.44
917 SUN,Minnesota,MINNESOTA,917 SUN,2704218,Dakota County,27037,http://www.isd917.org,14300 BISCAYNE AVE W,ROSEMOUNT,55068,14300 BISCAYNE AVE W,6514238204,2-Special education school,9-Specialized public school district,44.741403,-93.114540,MN-060917-060917400,Other,1-Yes,1-Yes,1-Yes,1-Yes,94,46,9,4,6,27,69,25,36.33,2.59
917 TEA,Minnesota,MINNESOTA,917 TEA,2704371,Dakota County,27037,http://www.isd917.org,5800 - 149TH STREET WEST,APPLE VALLEY,55124,5800 - 149TH STREET WEST,9527074075,2-Special education school,9-Specialized public school district,44.733440,-93.182441,MN-060917-060917700,Other,1-Yes,1-Yes,1-Yes,1-Yes,41,10,0,7,2,1,26,15,13.00,3.15
917 TESA,Minnesota,MINNESOTA,917 TESA,2702111,Dakota County,27037,http://www.isd917.org,1300 145TH ST E,ROSEMOUNT,55068,1300 145TH ST E,6514238401,2-Special education school,9-Specialized public school district,44.737251,-93.078065,MN-060917-060917030,High,1-Yes,1-Yes,1-Yes,1-Yes,133,133,0,0,0,133,87,46,21.00,6.33
A & M CONS H S,Texas,TEXAS,A & M CONS H S,4800001,Brazos County,48041,http://amchs.csisd.org,1801 HARVEY MITCHELL PKWY S,COLLEGE STATION,77840,1801 HARVEY MITCHELL PKWY S,9797645500,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,30.591777,-96.316423,TX-021901-021901001,High,1-Yes,1-Yes,1-Yes,1-Yes,2166,2166,544,558,543,521,1095,1071,134.88,16.06
A B SHEPARD HIGH SCH (CAMPUS),Illinois,ILLINOIS,A B Shepard High Sch (Campus),1700339,Cook County,17031,http://chsd218.org,13049 S Ridgeland Ave,Palos Heights,60463,13049 S Ridgeland Ave,7083711111,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,41.655140,-87.775649,IL-07-016-2180-16-070162180160007,High,1-Yes,1-Yes,1-Yes,1-Yes,1916,1916,419,476,495,526,1024,889,124.80,15.35
A C JONES H S,Texas,TEXAS,A C JONES H S,4800442,Bee County,48025,http://beevilleisd.net,1902 N ADAMS,BEEVILLE,78102,1902 N ADAMS,3613626000,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,28.419768,-97.753103,TX-013901-013901001,High,1-Yes,1-Yes,1-Yes,1-Yes,969,969,258,270,219,222,495,474,69.11,14.02
A G WEST BLACK HILLS HIGH SCHOOL,Washington,WASHINGTON,A G West Black Hills High School,5302602,Thurston County,53067,†,7741 Littlerock Road SW,Tumwater,98512,7741 Littlerock Road SW,3607097800,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,46.977878,-122.947689,WA-34033-4500,High,1-Yes,1-Yes,1-Yes,1-Yes,753,753,192,193,193,175,399,354,33.35,22.58
A K SMITH AREA CAREER CENTER,Indiana,INDIANA,A K Smith Area Career Center,1800433,LaPorte County,18091,†,817 Lafayette St,Michigan City,46360,817 Lafayette St,2198732120,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,41.709400,-86.894100,IN-4925-4792,High,1-Yes,1-Yes,1-Yes,1-Yes,1,1,0,0,1,0,1,0,15.00,0.07
A L BROWN HIGH,North Carolina,NORTH CAROLINA,A L Brown High,3701039,Cabarrus County,37025,http://albhs.kcs.k12.nc.us/cms/One.aspx,415 Martin Luther King Jr Ave,Kannapolis,28083,415 Martin Luther King Jr Ave,7049326125,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,35.496282,-80.618839,NC-132-304,High,1-Yes,1-Yes,1-Yes,1-Yes,1753,1753,492,464,434,363,903,850,93.98,18.65
A NEIL DEATLEY CAREER TECHNICAL EDUCATION CENTER,IDAHO,IDAHO,A Neil DeAtley Career Technical Education Center,1601119,Nez Perce County,16069,†,3125 CECIL ANDRUS WAY,LEWISTON,83501,3317 12TH STREET,2087483050,3-Career and Technical School,1-Regular local school district that is NOT a component of a supervisory union,46.389530,-116.974573,ID-340-1425,High,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,4.90,0.00
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,New York,NEW YORK,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,3604305,New York County,36061,http://www.aprandolph.com,433 W 135TH ST,NEW YORK,10031,433 W 135TH ST,2126906800,1-Regular school,2-Local school district that is a component of a supervisory union,40.818300,-73.950100,NY-310600010000-310600011540,High,1-Yes,1-Yes,1-Yes,1-Yes,1421,1401,555,391,206,249,731,690,89.25,15.92
A SEMINOLE COUNTY VIRTUAL SCHOOL,Florida,FLORIDA,A SEMINOLE COUNTY VIRTUAL SCHOOL,1208113,Seminole County,12117,http://virtualschool.scps.k12.fl.us/,450 TECHNOLOGY PARK,LAKE MARY,32746,450 TECHNOLOGY PARK,4078717282,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,28.735740,-81.362911,FL-59-7023,Other,1-Yes,1-Yes,1-Yes,1-Yes,0,0,0,0,0,0,0,0,0.00,†
A SEMINOLE COUNTY VIRTUAL SCHOOL,Florida,FLORIDA,A SEMINOLE COUNTY VIRTUAL SCHOOL,1207703,Seminole County,12117,http://virtualschool.scps.k12.fl.us/,450 TECHNOLOGY PARK,LAKE MARY,32746,450 TECHNOLOGY PARK,4078717287,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,28.735740,-81.362911,FL-59-7004,Other,1-Yes,1-Yes,1-Yes,1-Yes,210,112,26,26,27,33,92,118,46.83,4.48
A W BEATTIE CAREER CENTER,Pennsylvania,PENNSYLVANIA,A W Beattie Career Center,4207041,Allegheny County,42003,http://www.beattietech.com,9600 Babcock Boulevard,Allison Park,15101,9600 Babcock Boulevard,4128471900,3-Career and Technical School,9-Specialized public school district,40.579100,-80.006000,PA-103020407-5273,High,1-Yes,1-Yes,1-Yes,1-Yes,7,7,0,2,4,1,4,3,35.00,0.20
A&T FOUR MIDDLE COLLEGE,North Carolina,NORTH CAROLINA,A&T Four Middle College,3702669,Guilford County,37081,http://ncat.gcsnc.com/pages/Middle_College_at_N_C__A_T,1601 East Market Street,Greensboro,27411,1601 East Market Street,3366910941,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,36.076700,-79.770200,NC-410-483,High,1-Yes,1-Yes,1-Yes,1-Yes,162,162,47,45,40,30,162,0,13.58,11.93
A+ CHARTER SCHOOLS,ARIZONA,ARIZONA,A+ Charter Schools,0403681,Pinal County,04021,http://www.aplusaz.org,41735 W. Alan Stephens Pkwy,Maricopa,85138,41600 W. Smith-Enke Rd. Bldg,5202655589,1-Regular school,7-Independent Charter District,33.042533,-112.015895,AZ-1000166-1000972,High,1-Yes,1-Yes,1-Yes,1-Yes,370,236,61,59,75,41,211,159,21.89,16.90
A+ SECONDARY SCHOOL,TEXAS,TEXAS,A+ SECONDARY SCHOOL,4813579,Dallas County,48113,http://www.apluscharterschools.org,445 S MASTERS DR,DALLAS,75217,8225 BRUTON RD,4696771000,1-Regular school,7-Independent Charter District,32.707038,-96.650745,TX-057829-057829002,High,1-Yes,1-Yes,1-Yes,1-Yes,790,509,140,146,110,113,427,363,45.32,17.43
A-3 MULTIAGENCY ADOLESCENT PROG,Washington,WASHINGTON,A-3 Multiagency Adolescent Prog,5302361,Spokane County,53063,http://www.spokaneschools.org,1807 N. Washington,Spokane,99205,1807 N. Washington,5093546299,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,47.674349,-117.417810,WA-32081-1533,High,1-Yes,1-Yes,1-Yes,1-Yes,29,19,4,5,6,4,9,20,4.00,7.25
A-C CENTRAL HIGH SCHOOL,Illinois,ILLINOIS,A-C Central High School,1705357,Cass County,17017,http://www.a-ccentral.com,601 W Buchanan St,Ashland,62612,601 W Buchanan St,2174763312,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,39.892816,-90.012787,IL-01-009-2620-26-010092620260002,High,1-Yes,1-Yes,1-Yes,1-Yes,96,96,21,19,29,27,50,46,7.75,12.39
